Course ID,BAA00101
Class ID,Error
Course name,Error
Teacher,Error
Number of credits,0
Max enrolled,50
Weekday,MON
Session,7:30
Number of students,45
No,StudentID,Midterm,Final,Other,Total
1,21120001,6.4,1.4,7.2,9.6
2,21120002,9.4,7.5,5.6,7.9
3,21120003,8,9.6,2.1,7.9
4,21120004,4.7,1.7,9.9,8.2
5,21120005,5.5,5.3,5.5,1.1
6,21120006,8.5,2.3,3.3,1.7
7,21120007,6.1,5.6,2,2.1
8,21120008,2.7,9.5,5.9,7.3
9,21120009,3.5,3.5,9.4,7
10,21120010,7,5.7,5.3,6.3
11,21120011,1.8,8.4,8.5,7.6
12,21120012,7.8,5.2,1.5,7.5
13,21120013,9.6,1.7,4.1,8.5
14,21120014,2.5,9.6,3.5,3.9
15,21120015,2.2,8.5,4,7.4
16,21120016,7.2,4.6,2.4,3.7
17,21120017,3,9.1,2,2.3
18,21120018,3.7,8.7,9.3,2.4
19,21120019,1.6,5.1,8.4,8.9
20,21120020,2.1,2.9,6.3,9.6
21,21120046,9.2,1.2,5.3,6.4
22,21120047,6.1,1.2,5.3,7.1
23,21120048,6.1,9.6,2.4,6.3
24,21120049,5.3,2.7,9.4,5.1
25,21120050,9.3,2.8,9.6,3.6
26,21120051,2.8,9.5,1.7,3.7
27,21120052,5.4,7.9,9.3,6.5
28,21120053,4.4,1.9,3.4,2.6
29,21120054,3.3,5.5,8.5,2.1
30,21120055,2.2,9.5,7.4,1.9
31,21120056,4.7,4.8,7.5,4.6
32,21120057,3.7,5.1,5.2,8.6
33,21120058,2.3,6,2.4,8.1
34,21120059,5.1,7.7,5.4,1.4
35,21120060,4.9,6,2.5,5.9
36,21120061,4.7,4.8,3,5.4
37,21120062,4.4,2.1,1.5,1.3
38,21120063,5.4,3.3,9.7,4.5
39,21120064,7.7,4,3.3,9
40,21120065,2.8,5.2,7.5,6.4
41,21120066,5.4,5.7,2.9,8.5
42,21120067,1.7,6.3,3.6,9.8
43,21120068,5.2,3.5,8,1.9
44,21120069,5,2.3,9.1,7.2
45,21120070,4,8.4,2,5.2
