Course ID,MTH00009
Class ID,Error
Course name,Error
Teacher,Error
Number of credits,0
Max enrolled,50
Weekday,MON
Session,7:30
Number of students,45
No,StudentID,Midterm,Final,Other,Total
1,21120001,3.8,4.6,7.8,5.9
2,21120002,3.3,7.8,4.6,1.7
3,21120003,7,3.3,4,9.7
4,21120004,8.1,1.7,8.1,8.7
5,21120005,6.3,7.7,5.2,8.5
6,21120006,2.7,5.2,2.8,4
7,21120007,9.5,7.4,4.1,6.3
8,21120008,1.4,7.6,3.8,6.2
9,21120009,2,1.4,4.6,8
10,21120010,9.3,5.5,5.9,1.8
11,21120011,3.6,7.5,4.4,2.8
12,21120012,6.7,7.5,4.5,4.5
13,21120013,9.8,3.6,9,4.7
14,21120014,2.9,9.2,2.4,2.7
15,21120015,7.3,8.5,5.1,2.7
16,21120016,8.9,3,6.1,7
17,21120017,9.8,1.8,4.9,3.2
18,21120018,7.5,6.2,2.2,4.5
19,21120019,8.7,7.4,9.4,4.1
20,21120020,5.2,1.1,9.6,3
21,21120046,4.9,6.8,9.7,8.1
22,21120047,4.9,8.1,2.1,1.5
23,21120048,1.9,1.5,5.4,1.1
24,21120049,6.8,5.7,1.9,9
25,21120050,3.5,5.1,5.9,6.7
26,21120051,1.9,1.2,8.5,2.5
27,21120052,2.7,4.6,5.2,5.7
28,21120053,3.4,3.5,8.8,6.6
29,21120054,7.4,5.9,7.8,8.5
30,21120055,2.7,3,4.5,2.1
31,21120056,2.4,7.9,6,3.2
32,21120057,1.5,8.4,8.6,1.5
33,21120058,9.2,1.7,6.7,2
34,21120059,3.7,8.3,9.8,3
35,21120060,5.9,4.7,9.3,1
36,21120061,3.7,1.2,2.8,9.9
37,21120062,6.9,1.1,3.1,9.6
38,21120063,3.5,8,5.6,3.6
39,21120064,3.7,7.9,6.8,8.4
40,21120065,7.7,9.1,6.4,2.6
41,21120066,6.5,2.6,4.2,9.6
42,21120067,2.3,8.9,3.6,3.2
43,21120068,9,2.8,6.7,5.6
44,21120069,7.7,3.3,6,3.6
45,21120070,2.3,9.4,9.9,8.9
